about,address,area,award_winner,children,disabled_access,dogs,dress_code,gardens,gluten_free,halal,latitude,longitude,menu_description,menu_url,music,name,nearest_railway_station,nut_free,outdoor_seating,region,starting_price,times,vegan,vegetarian,venue_url,where_to_sit
"100 Queen's Gate Hotel - London is a prestigious location in Kensington and boasts this luxury hotel by Hilton's Curio Collection, where the mouth-watering Afternoon Tea is as pleasing as the surroundings.  A recent multi-million pound refurbishment has seen the hotel transformed into a haven of elegance and sophistication, featuring a swanky cocktail bar and the restaurant Botanica, located in an airy atrium, where Afternoon Tea is served.  In Botanica, you are invited to indulge in the quintessentially British tradition of Afternoon Tea. Their Afternoon Tea is accompanied by a carefully selected blend of teas from Newby, paired perfectly with pastries and savouries created by the team of in-house chefs who will take you on a unique experience.  This central location is just a stones-throw from local attractions so why not have a stroll around Hyde Park or visit the V&A and Natural History museums?","100 Queen's Gate, South Kensington, London,SW7 5AG",Kensington & Chelsea,,Children of all ages welcome,Yes,Guide dogs only,Smart casual,No,"Yes, please advise the hotel at least 48 hours prior to dining to allow the chef time to prepare. Items on the menu are subject to change.","Yes, please advise the hotel at least 48 hours prior to dining to allow the chef time to prepare. Items on the menu are subject to change.",51.492495,-0.178724,,www.afternoontea.co.uk//media/zjapujy5/2-final-curio-kensington_botanica_a5-afternoontea-menu.pdf,No live music,100 Queen's Gate Hotel,South Kensington Station or Gloucester Road Station,"Yes, please advise the hotel at least 48 hours prior to dining to allow the chef time to prepare. Items on the menu are subject to change.",No,London,46.00,Afternoon Tea is served 12:30pm to 4pm every day,"Yes, please advise the hotel at least 48 hours prior to dining to allow the chef time to prepare. Items on the menu are subject to change.",,https://www.afternoontea.co.uk/uk/london/kensington-chelsea/100-queens-gate-hotel/,Botanica
"Enter the enchanting atmosphere of Café Nucleus Chatham, a captivating oasis nestled in the heart of Chatham's vibrant High Street. As an integral part of the Nucleus Arts Centre, the café offers a unique blend of sophistication and warmth, ensuring a stylish and always-welcoming atmosphere. Café Nucleus stands as a distinctive haven, infusing traditional café fare with a delightful European accent.  Adorned with a boutique interior featuring handmade British crockery and fine C&S crystal glassware, this charming setting beckons guests to unwind and revel in the joy of the season. From the luxurious White Company Noir hand soap to the state-of-the-art Bose & Sonos sound system, every detail enhances the ambiance, creating a one-of-a-kind destination on Chatham's High Street.  Experience the delightful offerings of the Afternoon Tea menu. Priced at £28 per person, indulge in a diverse selection of finger sandwiches, such as Dorset Coastal Cheddar with Homemade Caramelised Onions, Cucumber with Local Cream Cheese, and Kentish Honey Roast Ham with Tracklements English Mustard. Delight in a freshly baked fruited scone, paired with Rodda’s Cornish Clotted Cream and Wooden Spoon Strawberry champagne preserve. Elevate your culinary experience with a tempting assortment of Afternoon Fancies, featuring handmade petit fours, truffles, and macarons from Bénodet, Brittany. Café Nucleus captures the true essence of quality dining, offering an unparalleled and joyous experience on Chatham High Street.","272 High Street, Chatham, Kent,ME4 4BP",Kent,,"Yes, children of all ages welcome",Yes,Yes,Smart Casual,No,"Yes, with advance notice",No,51.380461436446524,0.5284574818522942,,www.afternoontea.co.uk//media/awgjidq1/cafe-nucleus-afternoon-tea-menu.pdf,No,Café Nucleus Chatham,Chatham Station,No,No,South East,28.00,Afternoon Tea is served every day between 3pm - 4pm,No,"Yes, with advance notice",https://www.afternoontea.co.uk/uk/south-east/kent/cafe-nucleus-chatham/,Inside the restaurant
"Enjoy a traditional Afternoon Tea in one of London’s most unique locations – the vaulted crypt gallery beneath St Martin-in-the-Fields on Trafalgar Square.  The menu includes a selection of freshly made finger sandwiches, pastries, cakes, and of course traditional scones, served with Cornish clotted cream and preserves. Not forgetting a wide range of classic teas and tissanes to complete this most special of meals.  And to make it even more of an occasion, why not indulge yourself with a decadent glass of Champagne or Prosecco too!  Before you leave, don’t forget to browse the wealth of historical monuments housed within the original brick vaulted ceilings and stone floors... London’s history is literally at your feet!","Trafalgar Square, London,WC2N 4JH",Covent Garden,,Children of all ages welcome,Yes,Yes,,,"Yes, on request",,51.50930,-0.12661,,www.afternoontea.co.uk//media/1nzcxjdw/smitf-afternoon-tea-menu-ds-a5-floral-august-update-print.pdf,,"Café in the Crypt, St Martin in the Fields",Charing Cross,"Yes, on request",,London,30.00,"Friday: 2pm & 4pm, Saturday: 2pm & 4pm, Sunday: 2pm & 4pm","Yes, on request","Yes, on request",https://www.afternoontea.co.uk/uk/london/covent-garden/cafe-in-the-crypt-st-martin-in-the-fields/,Vaulted Crypt gallery beneath St Martin-in-the-Fields on Trafalgar Square
"Café 21 is a sociable and effortlessly stylish space, serving crafted comforts, lunch bites and sweet treats. Located in the heart of Newcastle, this is the perfect place to relax and enjoy an Afternoon Tea.  The chefs at Café 21 are great lovers of tradition, serving the legendary Viennese Sacher Torter alongside quintessentially British Afternoon Tea delights. Afternoon Tea is served daily from 2pm in the in-store eatery located on the First Floor of Fenwick, Northumberland Street, in the heart of Newcastle City Centre.  The menu includes a selection of traditional sandwiches, raisin and plain scones and an assortment of handmade pastries with the option to include Champagne Taittinger for a luxury Afternoon Tea experience.","First Floor, French Salon, Fenwick Northumberland Street, Newcastle upon Tyne,NE1 7AF",Newcastle,,Yes,Yes,Guide dogs only,No dress code,No,"Yes, advance notice required","Yes, advance notice required",54.97480281220796,-1.612513871669264,,www.afternoontea.co.uk//media/bwubxy1r/cafe-21-at-menu.pdf,No,Café 21 Newcastle,Newcastle Central Station,"Yes, advance notice required",No,North East,25.00,Afternoon Tea is served 2pm - 5pm Monday to Saturday (except Thursday 2pm - 6pm) and Sunday 2pm - 4pm,"Yes, advance notice required","Yes, advance notice required",https://www.afternoontea.co.uk/uk/north-east/newcastle/cafe-21-newcastle/,In the restaurant
"Afternoon Tea Awards 2023 - 'Award of Excellence'  Treat yourself to a luxurious Afternoon Tea in The Cadogan Lounge by Benoit Blin. Anticipate the best seasonal fare from the British Isles, expertly crafted into an imaginative offering – all accompanied by delicious teas and indulgent extras courtesy of chef Benoît Blin.  The Cadogan, A Belmond Hotel, is a perfect blend of traditional and contemporary flair. Once the regular haunt of Oscar Wilde, the grand Victorian building has been renovated to create an atmosphere of modern, understated luxury.  Located on Sloane Street, The Cadogan Lounge by Benoit Blin is perfectly situated for the high-end retail of Knightsbridge, the Saatchi Gallery in Chelsea as well as the nearby Victoria & Albert Museum, Science Museum and Natural History Museum.","75 Sloane St, Chelsea, London ,SW1X 9SG",Kensington & Chelsea,Afternoon Tea Awards 2023 - 'Award of Excellence',Children of all ages welcome,Yes,Yes,Smart casual,No,Yes,No,51.496974,-0.159406,,www.afternoontea.co.uk//media/05kh2ymh/the-cadogan-lounge-by-benoit-blin-menu-q1-2024.pdf,No live music,The Cadogan Lounge by Benoit Blin,"Knightsbridge, Sloane Square",No,No,London,75.00,Afternoon Tea is served 12pm to 6pm every day,Yea,Yes,https://www.afternoontea.co.uk/uk/london/kensington-chelsea/the-cadogan-lounge-by-benoit-blin/,The Cadogan Lounge
"Set in the heart of 312 lush acres, Buxted Park is a glorious country hotel providing the perfect setting for the ultimate Afternoon Tea indulgence.  Built in 1722 by Sir Thomas Medley, Buxted Park Hotel's history is as colourful as it is long. The Grade II listed Palladian mansion, set in the finest parkland and the award-winning 2 AA Rosette dining, makes Buxted Park Hotel the ideal location to relax or celebrate.  The surroundings may be grand but that doesn’t mean a hushed reverence is encouraged. This great country house was built for pleasure, The Crystal Bar and Coat of Arms Lounge are special features of any visit to Buxted Park. Featuring decorative high ceilings, ornate chandeliers, full height windows with far reaching views of the estate and comfortable leather furniture, all serve to create a sense of grandeur, but one which will not stifle your occasion.  One of the most memorable experiences of Afternoon Tea East Sussex has to offer; you’ll be invited to sit down to a selection of delicious sweet and savoury treats served in one of the stunning lounges or on the terrace overlooking 300 acres of finest Ashdown Forest parkland.  Buxted Park Hotel is located in between Buxted and Uckfield, just a short distance from Buxted Station.","Station Road, Buxted, Near Uckfield, East Sussex,TN22 4AY",East Sussex,,"Yes, children of all ages welcome",Yes,Yes,Smart casual,Yes,"Yes, advance notice required","Yes, advance notice required",50.985673376284346,0.11443048485769246,,www.afternoontea.co.uk//media/dradj5aq/buxted-park-hotel-afternoon-tea-menu.pdf,No,Buxted Park Hotel,Buxted Station,"Yes, advance notice required",Yes,South East,35.00,Afternoon Tea is served daily from 12pm - 4pm,"Yes, advance notice required","Yes, advance notice required",https://www.afternoontea.co.uk/uk/south-east/east-sussex/buxted-park-hotel/,"Coat of Arms Lounge, Crystal Bar, Orangery, Library"
"Bustronome's traditional Afternoon Tea is a symphony of flavours, blending quintessential British delicacies with innovative twists. Picture delicate finger sandwiches, scones topped with clotted cream and strawberry jam, and decadent pastries.  As you indulge in these delectable treats, expertly paired with a selection of fine teas and Prosecco, you'll embark on a culinary journey that celebrates the rich heritage of British cuisine.  In a world where time seems to fly by, Bustronome London invites you to slow down, savor the moment, and experience the timeless allure of traditional Afternoon Tea in a truly extraordinary setting.  Join us aboard the Bustronome and let your senses be enchanted as you embark on a journey through London's culinary and cultural delights.","Coach Bay, 40B Victoria Embankment, London,WC2N 6PB",Victoria & Westminster,,Yes,,Dogs are allowed,No dress code,,"Yes, require advance notice","Yes, require advance notice",51.50838,-0.12119,,www.afternoontea.co.uk//media/1zwbs0lg/bus-afternoon-tea-menu.pdf,No live music,Bustronome London,Embankment Tube Station,"Yes, require advance notice",,London,69.00,"Afternoon tea is available Tuesday, Wednesday & Thursday from 1pm to 3pm",,"Yes, require advance notice",https://www.afternoontea.co.uk/uk/london/victoria-westminster/bustronome-london/,Afternoon Tea is served on The Bus
"Built in 1852 by Colonel William Clement Drake Esdaile, Burley Manor is an architecturally stunning baronial-style manor house set within an eight-hundred year old estate and surrounded by rolling countryside and Burley Park, New Forest – a red deer sanctuary. It’s also just a few minutes’ walk from the picture-perfect village of Burley.  Food is the heart of Burley Manor and takes inspirations from the Mediterranean, offering not only a classic Afternoon Tea menu, but a Afternoon Tapas and fizz experience too!  The Afternoon Teas are experienced in multiple locations in the Manor. First, in the Drawing room with elegant and rich colours, sumptuous seating, and views over the neighbouring deer park. Should the weather be warm an opportunity to sit outside on the terrace is a must, with stunning views across the deer park. For larger parties with offer the comfort of the conservatory, with beautiful Mediterranean inspired décor.","Ringwood Rd, Burley, New Forest, Hampshire ,BH24 4BS",Hampshire,,Children of all ages welcome,Yes,Yes,Smart Casual,Yes,Yes with advance notice,,50.831101,-1.700975,,www.afternoontea.co.uk//media/mt0ft15i/bm-afternoon-tea.pdf,No live music,Burley Manor,New Milton Train Station,Yes with advance notice. Please note that if the nut allergy is airborne then we cannot guarantee a nut free area.,Yes,South East,28.00,Afternoon Tea is served 2pm to 4:30pm every day,Yes with advance notice,Yes with advance notice,https://www.afternoontea.co.uk/uk/south-east/hampshire/burley-manor/,In the Drawing Room
"While away the day with a quintessential Afternoon Tea at Burleigh Court Hotel, an intimate Grade II listed manor house right in the heart of the Cotswolds.  Bursting with country charm, Burleigh Court Hotel offers panoramic views across the stunning landscape of Stroud. Afternoon Tea is served in the Burleigh Court Restaurant, surrounded by delightful oak-panelled walls and overlooking the tranquil Golden Valley.  Afternoon Tea features a selection of scones and cakes which are prepared by the in-house pastry chef. In lieu of sandwiches Afternoon Tea features homemade savoury treats such as sausage rolls, scotch eggs, and charcuterie.  Burleigh Court Hotel is located in Stroud Valley, right in the heart of the Cotswolds. It is just 10 minutes from Stroud train station by car and 30 minutes from Gloucester city centre.","The Roundabouts, Brimscombe, Stroud, Gloucestershire,GL5 2PF",Gloucestershire,,Children of all ages welcome,"Yes. However, no disabled toilet facilities available.",Yes,No dress code,Yes,Yes - on request,No,51.716860,-2.194260,"Afternoon Tea Menu – From £25 per person; Traditional Afternoon Tea; Freshly baked scones (plain) with clotted cream, homemade jam, and a selection of cakes. Savoury delights: sausage roll, scotch egg, and charcuterie.; Gluten-Free Afternoon Tea; Freshly baked scones (plain) with clotted cream, homemade jam, and a selection of cakes. Savoury delights: sausage roll, scotch egg and charcuterie.; Vegan Afternoon Tea; Freshly baked vegan scones, with vegan cream cheese, homemade jam, and a selection of cakes. Savoury delights: vegan sausage roll.; Upgrade with organic Prosecco or Champagne from £6 per glass; Please note that we do; not; serve sandwiches as part of our menu.; If you prefer sandwiches to the savoury items listed above, please make a special request in the comments field during your online booking. Sandwiches are subject to a £5 surcharge.",,No live music,Burleigh Court Hotel,Stroud,Yes - on request,Yes,South West,25.00,Afternoon Tea is served from 1pm - 4:30pm Wednesday to Saturday,Yes - on request,,https://www.afternoontea.co.uk/uk/south-west/gloucestershire/burleigh-court-hotel/,"Lounge, restaurant or outdoor terrace"
"In the elegant ambience of The Bulgari Lounge, the Italian Afternoon Tea is a meticulously designed affair, inviting you to savour the depth of Italian flavours and the artistry of our culinary creations.  Crafted as an indulgent culinary experience, our Afternoon Tea captivates the essence of Italy, with a ‘salato’ selection by Executive Chef, Adriano Cavagnini and ‘dolce’ delicacies from Salvatore Mungiovino, Executive Pastry Chef.  This flavourful journey is a tribute to the creativity and heritage that defines our Italian Afternoon Tea.  Located in Knightsbridge next to Hyde Park, Bulgari Hotel London is a haven of calm under a minute’s walk from landmarks such as Harrods and Sloane Street. Elegant contemporary architecture and Bvlgari’s legendary flair for design are matched with authentic and impeccable service. The Bulgari Lounge offers elegant all day dining featuring a new ‘Dolci’ focused menu in the comfort and glamour of an Italian-style living room.","171 Knightsbridge, London,SW7 1DW",Knightsbridge,,"Yes, children welcome",Yes,Guide dogs only,Smart Casual,No,No,Yes,51.50157669313385,-0.16296435800782852,,www.afternoontea.co.uk//media/n3pdyceg/afternoon-tea-menu-master-6th-june-2024.pdf,No,The Bulgari Lounge at Bulgari Hotel London,Knightsbridge Tube Station,No,No,London,80.00,Afternoon Tea is served daily from 2pm - 5pm,No,"Yes, advance notice required",https://www.afternoontea.co.uk/uk/london/knightsbridge/bulgari-hotel-london/,Bulgari Lounge
